,Model Name,R2_Score,RMSE
6,GradientBoostingRegressor,0.8466203732724386,0.15519618835902552
8,XGBRegressor,0.8249964468805894,0.16552944709528136
7,RandomForestRegressor,0.8189846589379149,0.16800362969223573
1,SVR,0.7398527809822143,0.20379713261924137
5,DecisionTreeRegressor,0.641971018172608,0.23877800933145432
3,KNeighborsRegressor,0.5736062279985684,0.260101603764255
9,MLPRegressor,-70.54332099411191,3.629822895528096
4,GaussianProcessRegressor,-920.220273317762,12.021336865048438
2,SGDRegressor,-881583.0494236335,480.3206247481926
0,LinearRegression,-4.862180561843084e+25,2667466171195.539
